data
" Iteration 0, loss = 2.28553"
" Iteration 2140, loss = 1.45527"
" Iteration 2160, loss = 1.48122"
" Iteration 2180, loss = 1.5053"
" Iteration 2200, loss = 1.37759"
" Iteration 2220, loss = 1.58318"
" Iteration 2240, loss = 1.43863"
" Iteration 2260, loss = 1.38238"
" Iteration 2280, loss = 1.6026"
" Iteration 2300, loss = 1.54503"
" Iteration 2320, loss = 1.44348"
" Iteration 2340, loss = 1.5801"
" Iteration 2360, loss = 1.39345"
" Iteration 2380, loss = 1.55621"
" Iteration 2400, loss = 1.41292"
" Iteration 2420, loss = 1.36309"
" Iteration 2440, loss = 1.48198"
" Iteration 2460, loss = 1.55437"
" Iteration 2480, loss = 1.37458"
" Iteration 2500, loss = 1.64653"
" Iteration 2520, loss = 1.32233"
" Iteration 2540, loss = 1.33503"
" Iteration 2560, loss = 1.40055"
" Iteration 2580, loss = 1.40223"
" Iteration 2600, loss = 1.44154"
" Iteration 2620, loss = 1.35769"
" Iteration 2640, loss = 1.42528"
" Iteration 2660, loss = 1.47906"
" Iteration 2680, loss = 1.44887"
" Iteration 2700, loss = 1.5406"
" Iteration 2720, loss = 1.59509"
" Iteration 2740, loss = 1.4715"
" Iteration 2760, loss = 1.40622"
" Iteration 2780, loss = 1.55098"
" Iteration 2800, loss = 1.54088"
" Iteration 2820, loss = 1.33975"
" Iteration 2840, loss = 1.42514"
" Iteration 2860, loss = 1.40425"
" Iteration 2880, loss = 1.42096"
" Iteration 2900, loss = 1.323"
" Iteration 2920, loss = 1.26894"
" Iteration 2940, loss = 1.31139"
" Iteration 2960, loss = 1.48244"
" Iteration 2980, loss = 1.34453"
" Iteration 3000, loss = 1.50747"
" Iteration 3020, loss = 1.49806"
" Iteration 3040, loss = 1.49351"
" Iteration 3060, loss = 1.47811"
" Iteration 3080, loss = 1.3943"
" Iteration 3100, loss = 1.51418"
" Iteration 3120, loss = 1.5264"
" Iteration 3140, loss = 1.35543"
" Iteration 3160, loss = 1.61081"
" Iteration 3180, loss = 1.33767"
" Iteration 3200, loss = 1.39781"
" Iteration 3220, loss = 1.29275"
" Iteration 3240, loss = 1.50837"
" Iteration 3260, loss = 1.46066"
" Iteration 3280, loss = 1.43829"
" Iteration 3300, loss = 1.32224"
" Iteration 3320, loss = 1.15965"
" Iteration 3340, loss = 1.28447"
" Iteration 3360, loss = 1.21645"
" Iteration 3380, loss = 1.46892"
" Iteration 3400, loss = 1.48394"
" Iteration 3420, loss = 1.57065"
" Iteration 3440, loss = 1.56188"
" Iteration 3460, loss = 1.53344"
" Iteration 3480, loss = 1.4938"
" Iteration 3500, loss = 1.39138"
" Iteration 3520, loss = 1.41096"
" Iteration 3540, loss = 1.3063"
" Iteration 3560, loss = 1.28974"
" Iteration 3580, loss = 1.29889"
" Iteration 3600, loss = 1.39288"
" Iteration 3620, loss = 1.53486"
" Iteration 3640, loss = 1.30802"
" Iteration 3660, loss = 1.49409"
" Iteration 3680, loss = 1.70924"
" Iteration 3700, loss = 1.40361"
" Iteration 3720, loss = 1.35518"
" Iteration 3740, loss = 1.46477"
" Iteration 3760, loss = 1.47658"
" Iteration 3780, loss = 1.25634"
" Iteration 3800, loss = 1.53845"
" Iteration 3820, loss = 1.52844"
" Iteration 3840, loss = 1.42513"
" Iteration 3860, loss = 1.41557"
" Iteration 3880, loss = 1.42545"
" Iteration 3900, loss = 1.4727"
" Iteration 3920, loss = 1.51824"
" Iteration 3940, loss = 1.50879"
" Iteration 3960, loss = 1.36061"
" Iteration 3980, loss = 1.34985"
" Iteration 4000, loss = 1.43194"
" Iteration 4020, loss = 1.48779"
" Iteration 4040, loss = 1.24738"
" Iteration 4060, loss = 1.45024"
" Iteration 4080, loss = 1.40448"
" Iteration 4100, loss = 1.46406"
" Iteration 4120, loss = 1.31478"
" Iteration 4140, loss = 1.3656"
" Iteration 4160, loss = 1.39604"
" Iteration 4180, loss = 1.08811"
" Iteration 4200, loss = 1.38412"
" Iteration 4220, loss = 1.41652"
" Iteration 4240, loss = 1.40632"
" Iteration 4260, loss = 1.58057"
" Iteration 4280, loss = 1.35898"
" Iteration 4300, loss = 1.60933"
" Iteration 4320, loss = 1.26114"
" Iteration 4340, loss = 1.41438"
" Iteration 4360, loss = 1.35718"
" Iteration 4380, loss = 1.30248"
" Iteration 4400, loss = 1.3249"
" Iteration 4420, loss = 1.46023"
" Iteration 4440, loss = 1.54152"
" Iteration 4460, loss = 1.40992"
" Iteration 4480, loss = 1.40547"
" Iteration 4500, loss = 1.49759"
" Iteration 4520, loss = 1.4866"
" Iteration 4540, loss = 1.37282"
" Iteration 4560, loss = 1.3134"
" Iteration 4580, loss = 1.23353"
" Iteration 4600, loss = 1.22783"
" Iteration 4620, loss = 1.25325"
" Iteration 4640, loss = 1.21421"
" Iteration 4660, loss = 1.25748"
" Iteration 4680, loss = 1.34546"
" Iteration 4700, loss = 1.17146"
" Iteration 4720, loss = 1.31306"
" Iteration 4740, loss = 1.32322"
" Iteration 4760, loss = 1.21904"
" Iteration 4780, loss = 1.55199"
" Iteration 4800, loss = 1.43995"
" Iteration 4820, loss = 1.28428"
" Iteration 4840, loss = 1.37443"
" Iteration 4860, loss = 1.47977"
" Iteration 4880, loss = 1.43732"
" Iteration 4900, loss = 1.17389"
" Iteration 4920, loss = 1.57444"
" Iteration 4940, loss = 1.26566"
" Iteration 4960, loss = 1.33909"
" Iteration 4980, loss = 1.40941"
" Iteration 5000, loss = 1.24043"
" Iteration 5020, loss = 1.30371"
" Iteration 5040, loss = 1.27492"
" Iteration 5060, loss = 1.44969"
" Iteration 5080, loss = 1.5639"
" Iteration 5100, loss = 1.29852"
" Iteration 5120, loss = 1.33623"
" Iteration 5140, loss = 1.33925"
" Iteration 5160, loss = 1.57091"
" Iteration 5180, loss = 1.22044"
" Iteration 5200, loss = 1.2071"
" Iteration 5220, loss = 1.31363"
" Iteration 5240, loss = 1.35921"
" Iteration 5260, loss = 1.16365"
" Iteration 5280, loss = 1.3116"
" Iteration 5300, loss = 1.16574"
" Iteration 5320, loss = 1.12834"
" Iteration 5340, loss = 1.36746"
" Iteration 5360, loss = 1.42952"
" Iteration 5380, loss = 1.55686"
" Iteration 5400, loss = 1.21357"
" Iteration 5420, loss = 1.168"
" Iteration 5440, loss = 1.37235"
" Iteration 5460, loss = 1.23331"
" Iteration 5480, loss = 1.30563"
" Iteration 5500, loss = 1.35418"
" Iteration 5520, loss = 1.2618"
" Iteration 5540, loss = 1.40369"
" Iteration 5560, loss = 1.30454"
" Iteration 5580, loss = 1.25713"
" Iteration 5600, loss = 1.13817"
" Iteration 5620, loss = 1.23953"
" Iteration 5640, loss = 1.39763"
" Iteration 5660, loss = 1.13414"
" Iteration 5680, loss = 1.36354"
" Iteration 5700, loss = 1.26988"
" Iteration 5720, loss = 1.12207"
" Iteration 5740, loss = 1.19393"
" Iteration 5760, loss = 1.54086"
" Iteration 5780, loss = 1.29561"
" Iteration 5800, loss = 1.28595"
" Iteration 5820, loss = 1.25416"
" Iteration 5840, loss = 1.35218"
" Iteration 5860, loss = 1.3011"
" Iteration 5880, loss = 1.24587"
" Iteration 5900, loss = 1.37248"
" Iteration 5920, loss = 1.40116"
" Iteration 5940, loss = 1.33468"
" Iteration 5960, loss = 1.23002"
" Iteration 5980, loss = 1.1875"
" Iteration 6000, loss = 1.54119"
" Iteration 6020, loss = 1.29046"
" Iteration 6040, loss = 1.39256"
" Iteration 6060, loss = 1.30518"
" Iteration 6080, loss = 1.35019"
" Iteration 6100, loss = 1.40669"
" Iteration 6120, loss = 1.12535"
" Iteration 6140, loss = 1.3161"
" Iteration 6160, loss = 1.24736"
" Iteration 6180, loss = 1.60059"
" Iteration 6200, loss = 1.39318"
" Iteration 6220, loss = 1.55477"
" Iteration 6240, loss = 1.14931"
" Iteration 6260, loss = 1.42955"
" Iteration 6280, loss = 1.40891"
" Iteration 6300, loss = 1.37418"
" Iteration 6320, loss = 1.03692"
" Iteration 6340, loss = 1.16477"
" Iteration 6360, loss = 1.49395"
" Iteration 6380, loss = 1.56538"
" Iteration 6400, loss = 1.24472"
" Iteration 6420, loss = 1.21654"
" Iteration 6440, loss = 1.38617"
" Iteration 6460, loss = 1.29285"
" Iteration 6480, loss = 1.564"
" Iteration 6500, loss = 1.49075"
" Iteration 6520, loss = 1.36996"
" Iteration 6540, loss = 1.41918"
" Iteration 6560, loss = 1.11791"
" Iteration 6580, loss = 1.29762"
" Iteration 6600, loss = 1.43139"
" Iteration 6620, loss = 1.38573"
" Iteration 6640, loss = 1.35854"
" Iteration 6660, loss = 1.20663"
" Iteration 6680, loss = 1.5186"
" Iteration 6700, loss = 1.29523"
" Iteration 6720, loss = 1.27041"
" Iteration 6740, loss = 1.42249"
" Iteration 6760, loss = 1.23848"
" Iteration 6780, loss = 1.12934"
" Iteration 6800, loss = 1.39142"
" Iteration 6820, loss = 1.23093"
" Iteration 6840, loss = 1.3322"
" Iteration 6860, loss = 1.29155"
" Iteration 6880, loss = 1.19708"
" Iteration 6900, loss = 1.35623"
" Iteration 6920, loss = 1.09038"
" Iteration 6940, loss = 1.25624"
" Iteration 6960, loss = 1.17388"
" Iteration 6980, loss = 1.10607"
" Iteration 7000, loss = 1.21205"
" Iteration 7020, loss = 1.43503"
" Iteration 7040, loss = 1.54101"
" Iteration 7060, loss = 1.44093"
" Iteration 7080, loss = 1.35994"
" Iteration 7100, loss = 1.29983"
" Iteration 7120, loss = 1.31784"
" Iteration 7140, loss = 1.18736"
" Iteration 7160, loss = 1.37618"
" Iteration 7180, loss = 1.33445"
" Iteration 7200, loss = 1.21926"
" Iteration 7220, loss = 1.30007"
" Iteration 7240, loss = 1.25679"
" Iteration 7260, loss = 1.22621"
" Iteration 7280, loss = 1.20294"
" Iteration 7300, loss = 1.16804"
" Iteration 7320, loss = 1.16593"
" Iteration 7340, loss = 1.08352"
" Iteration 7360, loss = 1.41543"
" Iteration 7380, loss = 1.15952"
" Iteration 7400, loss = 1.142"
" Iteration 7420, loss = 1.3389"
" Iteration 7440, loss = 1.36818"
" Iteration 7460, loss = 1.19422"
" Iteration 7480, loss = 1.2711"
" Iteration 7500, loss = 1.30676"
" Iteration 7520, loss = 1.11838"
" Iteration 7540, loss = 1.26147"
" Iteration 7560, loss = 1.34372"
" Iteration 7580, loss = 1.29055"
" Iteration 7600, loss = 1.16052"
" Iteration 7620, loss = 1.25647"
" Iteration 7640, loss = 1.11802"
" Iteration 7660, loss = 1.31696"
" Iteration 7680, loss = 1.27961"
" Iteration 7700, loss = 1.4122"
" Iteration 7720, loss = 1.44704"
" Iteration 7740, loss = 1.40448"
" Iteration 7760, loss = 1.40065"
" Iteration 7780, loss = 1.28894"
" Iteration 7800, loss = 1.39147"
" Iteration 7820, loss = 1.267"
" Iteration 7840, loss = 1.2391"
" Iteration 7860, loss = 1.27464"
" Iteration 7880, loss = 1.15782"
" Iteration 7900, loss = 1.44865"
" Iteration 7920, loss = 1.28461"
" Iteration 7940, loss = 1.23743"
" Iteration 7960, loss = 1.25709"
" Iteration 7980, loss = 1.23849"
" Iteration 8000, loss = 1.34787"
" Iteration 8020, loss = 1.2483"
" Iteration 8040, loss = 1.26114"
" Iteration 8060, loss = 1.06018"
" Iteration 8080, loss = 1.21439"
" Iteration 8100, loss = 1.45328"
" Iteration 8120, loss = 1.14872"
" Iteration 8140, loss = 1.30768"
" Iteration 8160, loss = 1.29308"
" Iteration 8180, loss = 1.29652"
" Iteration 8200, loss = 1.04671"
" Iteration 8220, loss = 1.35759"
" Iteration 8240, loss = 1.3203"
" Iteration 8260, loss = 1.30617"
" Iteration 8280, loss = 1.08788"
" Iteration 8300, loss = 1.10716"
" Iteration 8320, loss = 1.32885"
" Iteration 8340, loss = 1.21971"
" Iteration 8360, loss = 1.29579"
" Iteration 8380, loss = 1.2634"
" Iteration 8400, loss = 1.21755"
" Iteration 8420, loss = 1.1753"
" Iteration 8440, loss = 1.15824"
" Iteration 8460, loss = 1.37949"
" Iteration 8480, loss = 1.21768"
" Iteration 8500, loss = 1.15816"
" Iteration 8520, loss = 1.16393"
" Iteration 8540, loss = 1.37791"
" Iteration 8560, loss = 1.20102"
" Iteration 8580, loss = 1.19201"
" Iteration 8600, loss = 1.04397"
" Iteration 8620, loss = 1.26706"
" Iteration 8640, loss = 1.18951"
" Iteration 8660, loss = 1.31229"
" Iteration 8680, loss = 1.28028"
" Iteration 8700, loss = 1.29464"
" Iteration 8720, loss = 1.20386"
" Iteration 8740, loss = 1.32609"
" Iteration 8760, loss = 1.24642"
" Iteration 8780, loss = 1.08333"
" Iteration 8800, loss = 1.27086"
" Iteration 8820, loss = 1.19625"
" Iteration 8840, loss = 1.19328"
" Iteration 8860, loss = 1.11713"
" Iteration 8880, loss = 1.0076"
" Iteration 8900, loss = 1.21347"
" Iteration 8920, loss = 1.14421"
" Iteration 8940, loss = 1.10853"
" Iteration 8960, loss = 1.0247"
" Iteration 8980, loss = 1.03696"
" Iteration 9000, loss = 1.16099"
" Iteration 9020, loss = 1.30014"
" Iteration 9040, loss = 1.16229"
" Iteration 9060, loss = 1.26246"
" Iteration 9080, loss = 1.11975"
" Iteration 9100, loss = 1.20284"
" Iteration 9120, loss = 1.28542"
" Iteration 9140, loss = 1.183"
" Iteration 9160, loss = 1.28189"
" Iteration 9180, loss = 1.10254"
" Iteration 9200, loss = 1.31134"
" Iteration 9220, loss = 1.30138"
" Iteration 9240, loss = 1.28725"
" Iteration 9260, loss = 1.15859"
" Iteration 9280, loss = 1.19585"
" Iteration 9300, loss = 1.28912"
" Iteration 9320, loss = 1.30972"
" Iteration 9340, loss = 1.22698"
" Iteration 9360, loss = 1.17124"
" Iteration 9380, loss = 1.24433"
" Iteration 9400, loss = 1.25896"
" Iteration 9420, loss = 1.16061"
" Iteration 9440, loss = 1.17259"
" Iteration 9460, loss = 1.13912"
" Iteration 9480, loss = 1.22832"
" Iteration 9500, loss = 1.04755"
" Iteration 9520, loss = 1.17031"
" Iteration 9540, loss = 1.00474"
" Iteration 9560, loss = 1.19088"
" Iteration 9580, loss = 1.2237"
" Iteration 9600, loss = 1.33826"
" Iteration 9620, loss = 1.36685"
" Iteration 9640, loss = 1.24267"
" Iteration 9660, loss = 1.26732"
" Iteration 9680, loss = 1.43456"
" Iteration 9700, loss = 1.20377"
" Iteration 9720, loss = 1.32342"
" Iteration 9740, loss = 1.34281"
" Iteration 9760, loss = 1.13577"
" Iteration 9780, loss = 1.15029"
" Iteration 9800, loss = 1.1455"
" Iteration 9820, loss = 1.29665"
" Iteration 9840, loss = 1.34978"
" Iteration 9860, loss = 1.42808"
" Iteration 9880, loss = 1.17135"
" Iteration 9900, loss = 1.18888"
" Iteration 9920, loss = 1.25204"
" Iteration 9940, loss = 1.10762"
" Iteration 9960, loss = 1.03499"
" Iteration 9980, loss = 1.1383"
" Iteration 10000, loss = 1.40553"
" Iteration 10020, loss = 1.54383"
" Iteration 10040, loss = 1.26725"
" Iteration 10060, loss = 1.15068"
" Iteration 10080, loss = 1.42493"
" Iteration 10100, loss = 1.43227"
" Iteration 10120, loss = 1.20229"
" Iteration 10140, loss = 1.23903"
" Iteration 10160, loss = 1.44729"
" Iteration 10180, loss = 1.15696"
" Iteration 10200, loss = 1.06394"
" Iteration 10220, loss = 1.26908"
" Iteration 10240, loss = 1.17261"
" Iteration 10260, loss = 1.2404"
" Iteration 10280, loss = 1.11783"
" Iteration 10300, loss = 1.23813"
" Iteration 10320, loss = 1.02406"
" Iteration 10340, loss = 1.1664"
" Iteration 10360, loss = 1.22943"
" Iteration 10380, loss = 1.21811"
" Iteration 10400, loss = 1.31223"
" Iteration 10420, loss = 1.03007"
" Iteration 10440, loss = 1.28224"
" Iteration 10460, loss = 1.29981"
" Iteration 10480, loss = 1.31423"
" Iteration 10500, loss = 1.26969"
" Iteration 10520, loss = 1.13248"
" Iteration 10540, loss = 1.15845"
" Iteration 10560, loss = 1.11781"
" Iteration 10580, loss = 1.27757"
" Iteration 10600, loss = 1.3973"
" Iteration 10620, loss = 0.929"
" Iteration 10640, loss = 1.39621"
" Iteration 10660, loss = 1.24928"
" Iteration 10680, loss = 1.03246"
" Iteration 10700, loss = 1.03267"
" Iteration 10720, loss = 1.1837"
" Iteration 10740, loss = 1.25554"
" Iteration 10760, loss = 1.26986"
" Iteration 10780, loss = 1.18373"
" Iteration 10800, loss = 1.14226"
" Iteration 10820, loss = 1.25533"
" Iteration 10840, loss = 1.13474"
" Iteration 10860, loss = 1.17327"
" Iteration 10880, loss = 1.11937"
" Iteration 10900, loss = 1.15603"
" Iteration 10920, loss = 1.11834"
" Iteration 10940, loss = 1.40873"
" Iteration 10960, loss = 1.22543"
" Iteration 10980, loss = 1.17991"
" Iteration 11000, loss = 1.37816"
" Iteration 11020, loss = 1.18026"
" Iteration 11040, loss = 1.166"
" Iteration 11060, loss = 1.24199"
" Iteration 11080, loss = 1.23888"
" Iteration 11100, loss = 1.35014"
" Iteration 11120, loss = 1.26371"
" Iteration 11140, loss = 1.16197"
" Iteration 11160, loss = 1.29932"
" Iteration 11180, loss = 1.25172"
" Iteration 11200, loss = 1.16714"
" Iteration 11220, loss = 1.13281"
" Iteration 11240, loss = 1.20986"
" Iteration 11260, loss = 1.30613"
" Iteration 11280, loss = 1.25709"
" Iteration 11300, loss = 1.21543"
" Iteration 11320, loss = 1.22342"
" Iteration 11340, loss = 1.08968"
" Iteration 11360, loss = 1.33712"
" Iteration 11380, loss = 1.227"
" Iteration 11400, loss = 1.15528"
" Iteration 11420, loss = 1.12313"
" Iteration 11440, loss = 1.25778"
" Iteration 11460, loss = 1.22668"
" Iteration 11480, loss = 1.41923"
" Iteration 11500, loss = 1.37106"
" Iteration 11520, loss = 1.28904"
" Iteration 11540, loss = 1.17412"
" Iteration 11560, loss = 1.11348"
" Iteration 11580, loss = 1.1072"
" Iteration 11600, loss = 1.09341"
" Iteration 11620, loss = 1.09011"
" Iteration 11640, loss = 1.35791"
" Iteration 11660, loss = 1.1225"
" Iteration 11680, loss = 1.26718"
" Iteration 11700, loss = 1.11392"
" Iteration 11720, loss = 1.07314"
" Iteration 11740, loss = 1.07296"
" Iteration 11760, loss = 1.17338"
" Iteration 11780, loss = 1.00902"
" Iteration 11800, loss = 1.07941"
" Iteration 11820, loss = 1.03246"
" Iteration 11840, loss = 1.01475"
" Iteration 11860, loss = 1.08296"
" Iteration 11880, loss = 1.17168"
" Iteration 11900, loss = 1.17535"
" Iteration 11920, loss = 1.14445"
" Iteration 11940, loss = 1.12274"
" Iteration 11960, loss = 1.24921"
" Iteration 11980, loss = 1.26306"
" Iteration 12000, loss = 1.16521"
" Iteration 12020, loss = 1.26841"
" Iteration 12040, loss = 1.05866"
" Iteration 12060, loss = 1.27727"
" Iteration 12080, loss = 1.26721"
" Iteration 12100, loss = 1.33644"
" Iteration 12120, loss = 1.22589"
" Iteration 12140, loss = 1.32011"
" Iteration 12160, loss = 1.08971"
" Iteration 12180, loss = 1.26596"
" Iteration 12200, loss = 1.34315"
" Iteration 12220, loss = 1.32311"
" Iteration 12240, loss = 1.29951"
" Iteration 12260, loss = 1.08922"
" Iteration 12280, loss = 1.26633"
" Iteration 12300, loss = 1.05915"
" Iteration 12320, loss = 1.06991"
" Iteration 12340, loss = 0.964437"
" Iteration 12360, loss = 1.06204"
" Iteration 12380, loss = 1.36766"
" Iteration 12400, loss = 1.03355"
" Iteration 12420, loss = 0.977678"
" Iteration 12440, loss = 1.10186"
" Iteration 12460, loss = 1.20091"
" Iteration 12480, loss = 1.18496"
" Iteration 12500, loss = 1.2301"
" Iteration 12520, loss = 1.03272"
" Iteration 12540, loss = 1.24782"
" Iteration 12560, loss = 1.02909"
" Iteration 12580, loss = 1.2395"
" Iteration 12600, loss = 1.24263"
" Iteration 12620, loss = 1.07575"
" Iteration 12640, loss = 1.22214"
" Iteration 12660, loss = 1.20858"
" Iteration 12680, loss = 1.33953"
" Iteration 12700, loss = 1.17619"
" Iteration 12720, loss = 1.20672"
" Iteration 12740, loss = 1.15653"
" Iteration 12760, loss = 1.20156"
" Iteration 12780, loss = 1.09996"
" Iteration 12800, loss = 1.27435"
" Iteration 12820, loss = 1.0276"
" Iteration 12840, loss = 1.01014"
" Iteration 12860, loss = 1.24804"
" Iteration 12880, loss = 1.11726"
" Iteration 12900, loss = 1.17735"
" Iteration 12920, loss = 0.992373"
" Iteration 12940, loss = 0.990246"
" Iteration 12960, loss = 1.14424"
" Iteration 12980, loss = 1.1321"
" Iteration 13000, loss = 1.29944"
" Iteration 13020, loss = 1.27775"
" Iteration 13040, loss = 1.28235"
" Iteration 13060, loss = 1.22759"
" Iteration 13080, loss = 1.07495"
" Iteration 13100, loss = 1.28197"
